"53","3228","365","30.51"
"7","7451","112","221.58"
"14","7558","301","64.96"
"72","4358","420","197.05"
"73","7349","287","402.00"
"53","7819","258","126.68"
"35","126","297","187.03"
"56","6652","398","67.11"
"43","4652","269","54.28"
"60","3296","360","360.21"
"85","7345","199","190.26"
"47","61","37","209.25"
"14","8670","365","390.18"
"50","9084","366","119.60"
"37","3609","315","210.38"
"5","902","181","80.94"
"47","8035","428","369.35"
"52","6670","153","358.50"
"7","4148","192","122.31"
"100","5671","361","101.52"
"77","8919","337","321.17"
"61","3224","208","499.36"
"25","8684","385","467.26"
"61","2235","87","429.05"
"14","8058","163","340.43"
"72","45","460","341.77"
"24","2054","448","477.87"
"24","4198","18","148.24"
"5","2190","423","249.17"
"80","4318","331","482.05"
"57","7393","362","84.71"
"53","4290","431","107.47"
"60","7928","236","477.54"
"56","2393","117","270.16"
"99","3454","392","92.86"
"71","6540","247","268.78"
"69","7890","417","73.91"
"75","439","11","306.05"
"71","228","207","67.07"
"69","7922","427","425.25"
"25","8468","347","291.48"
"61","2038","109","244.00"
"25","826","399","206.67"
"22","4619","277","63.33"
"37","8573","238","25.98"
"53","5354","162","247.06"
"80","3844","249","70.89"
"4","9069","70","354.78"
"3","5455","493","180.58"
"47","3739","168","337.07"
"47","468","43","101.75"
"41","6136","343","377.93"
"60","9145","460","0.10"
"6","4350","483","211.98"
"100","2552","140","106.14"
"55","5571","173","120.42"
"3","149","410","244.71"
"100","5214","201","280.24"
"3","4676","119","200.09"
"61","3002","249","248.02"
"77","698","225","100.00"
"35","1421","101","116.39"
"51","5830","312","264.21"
"35","2841","47","248.96"
"25","8720","307","201.50"
"22","485","89","14.07"
"51","8666","40","414.12"
"6","129","254","305.12"
"97","6315","37","104.50"
"63","7063","165","140.07"
"65","8030","385","310.81"
"80","7100","257","299.99"
"41","2997","348","243.66"
"75","7365","279","380.86"
"71","2685","168","330.12"
"77","8153","338","459.43"
"51","7183","395","132.02"
"25","6277","139","30.84"
"97","789","443","17.51"
"53","8555","179","2.60"
"35","2154","290","179.23"
"65","4179","126","393.94"
